x,y,z,T,solid
0.070285384,0.074868071,0.0,307.09692,1.0
0.070285384,0.075292178,0.0,307.09697,1.0
0.070285384,0.075716284,0.0,307.09703,1.0
0.070285384,0.076140391,0.0,307.09709,1.0
0.070285384,0.076564498,0.0,307.09716,1.0
0.070285384,0.076988604,0.0,307.09722,1.0
0.070285384,0.077412711,0.0,307.09729,1.0
0.070710978,0.071475218,0.0,307.09664,1.0
0.070710978,0.071899325,0.0,307.09666,1.0
0.070710978,0.072323431,0.0,307.09669,1.0
0.070710978,0.072747538,0.0,307.09672,1.0
0.070710978,0.073171645,0.0,307.09676,1.0
0.070710978,0.073595751,0.0,307.0968,1.0
0.070710978,0.074019858,0.0,307.09684,1.0
0.070710978,0.074443965,0.0,307.09689,1.0
0.070710978,0.074868071,0.0,307.09694,1.0
0.070710978,0.075292178,0.0,307.097,1.0
0.070710978,0.075716284,0.0,307.09706,1.0
0.070710978,0.076140391,0.0,307.09712,1.0
0.070710978,0.076564498,0.0,307.09718,1.0
0.070710978,0.076988604,0.0,307.09725,1.0
0.071136572,0.072323431,0.0,307.09671,1.0
0.071136572,0.072747538,0.0,307.09674,1.0
0.071136572,0.073171645,0.0,307.09678,1.0
0.071136572,0.073595751,0.0,307.09682,1.0
0.071136572,0.074019858,0.0,307.09686,1.0
0.071136572,0.074443965,0.0,307.09691,1.0
0.071136572,0.074868071,0.0,307.09697,1.0
0.071136572,0.075292178,0.0,307.09702,1.0
0.071136572,0.075716284,0.0,307.09708,1.0
0.071136572,0.076140391,0.0,307.09714,1.0
0.071136572,0.076564498,0.0,307.0972,1.0
0.071136572,0.076988604,0.0,307.09727,1.0
0.071562166,0.076564498,0.0,307.09722,1.0
0.071562166,0.076988604,0.0,307.09729,1.0
0.070285384,0.070202898,0.0,307.09659,1.0
0.070285384,0.070627005,0.0,307.09659,1.0
0.070285384,0.071051112,0.0,307.0966,1.0
0.070710978,0.070202898,0.0,307.09661,1.0
0.070710978,0.070627005,0.0,307.09662,1.0
0.070710978,0.071051112,0.0,307.09663,1.0
0.071136572,0.070202898,0.0,307.09663,1.0
0.071136572,0.070627005,0.0,307.09664,1.0
0.071136572,0.071051112,0.0,307.09665,1.0
0.071136572,0.071475218,0.0,307.09667,1.0
0.071136572,0.071899325,0.0,307.09669,1.0
0.071562166,0.070202898,0.0,307.09666,1.0
0.071562166,0.070627005,0.0,307.09666,1.0
0.071562166,0.071051112,0.0,307.09667,1.0
0.071562166,0.071475218,0.0,307.09669,1.0
0.071562166,0.071899325,0.0,307.09671,1.0
0.071562166,0.072323431,0.0,307.09673,1.0
0.071562166,0.072747538,0.0,307.09677,1.0
0.071562166,0.073171645,0.0,307.0968,1.0
0.071562166,0.073595751,0.0,307.09684,1.0
0.071562166,0.074019858,0.0,307.09689,1.0
0.071562166,0.074443965,0.0,307.09693,1.0
0.071562166,0.074868071,0.0,307.09699,1.0
0.071562166,0.075292178,0.0,307.09704,1.0
0.071562166,0.075716284,0.0,307.0971,1.0
0.071562166,0.076140391,0.0,307.09716,1.0
0.071987759,0.070202898,0.0,307.09668,1.0
0.071987759,0.070627005,0.0,307.09668,1.0
0.071987759,0.071051112,0.0,307.09669,1.0
0.071987759,0.071475218,0.0,307.09671,1.0
0.071987759,0.071899325,0.0,307.09673,1.0
0.071987759,0.072323431,0.0,307.09675,1.0
0.071987759,0.072747538,0.0,307.09679,1.0
0.071987759,0.073171645,0.0,307.09682,1.0
0.071987759,0.073595751,0.0,307.09686,1.0
0.071987759,0.074019858,0.0,307.09691,1.0
0.071987759,0.074443965,0.0,307.09695,1.0
0.071987759,0.074868071,0.0,307.09701,1.0
0.071987759,0.075292178,0.0,307.09706,1.0
